제품일련번호,기업일련번호,제품국문명,제품영문명,한줄소개내용,제품상세설명,검색태그내용,홈페이지url,앱스토어url,구글플레이url
1548,1630,ti,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1806,,,,
110235,147934,실버케어솔루션,SilverCareSolution,요양시설지향 솔루션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1807,실버케어솔루션||디지털헬스케어||간병||요양,http://www.bighavesolution.com,,
12789,27650,AC 리액터,AC reactor(Inductor),,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
114034,123494,스테이튠,staytuned.kr,글로벌 웰니스 원스탑 플랫폼 (컨텐츠커뮤니티큐레이션커머스),/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1809,,http://www.staytuned.kr,,
2632,2290,TEND,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1810,,http://www.teamgroove.co.kr/,,
114181,150484,커스트피아,Custpia,해외 30개국 관세정보와 20개국의 무역거래정보를 제공,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1811,IT/서비스||정보검색,,,
113155,149852,스노우볼,SNOWBALL,영어 학습자들을 위한 영어 검색 엔진,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1812,,,,
111243,122326,MONEY24H,머니24h - 무인환전기,온라인|| 오프라인 환전 플랫폼- (주)머니박스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1813,무인환전기||환전소||무인기,http://www.skypay.co.kr,,
112979,100807,브이고,Vgo,글로벌 패션 생산 공급 분야에서 접근성|| 효율성|| 경제성이 우수한 IT 솔루션 서비스를 제공합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1814,앱/웹서비스,http://www.v-go.io,,
46394,34372,비둘기 지갑,Dove Wallet,당신의 마지막 지갑,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1815,,https://dovewallet.com,,
112136,149093,오리지널 콘텐츠 제작,,'장애' 이전의 한 사람으로서의 개성과 표현|| 이야기를 담은 오리지널 영상콘텐츠를 시리즈물로 제작합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1816,#영상#촬영#편집||영상||콘텐츠/영상||장애,,,
110827,148114,캠퍼스그라운드,Camper's Ground,캠핑계의  오늘의 집 캠퍼스그라운드,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1817,,http://www.campersground.kr,https://apps.apple.com/us/app/%EC%BA%A0%ED%8D%BC%EC%8A%A4%EA%B7%B8%EB%9D%BC%EC%9A%B4%EB%93%9C/id1594831092,https://play.google.com/store/apps/details?id=com.cgapp
5033,8487,조인스오토,joinsauto,내차 마지막까지 합리적인 거래! 폐차비교견적서비스 입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1818,폐차||자동차||IT||O2O||규제샌드박스||비교견적,http://www.joinsauto.co.kr,,https://play.google.com/store/apps/details?id=kr.co.emeye.joinsauto&hl=ko
29360,85990,Pardot,Pardot,Salesforce  B2B마케팅 솔루션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
31292,87982,배틀 트리비아,Battle Trivia,블록체인을 기반한 트리비아 게임,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1820,,http://battletrivia.io,,
114066,141463,제이엠사이트,JMSIGHT,JMSIGHT AIOps (Artificial Intelligence for IT Operations),/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1821,CloudNative||aiops,http://www.jmsight.com,,
109653,147553,쿠디 - AI 퍼스널 쇼퍼,,컴퓨터 비저닝기술이 접목된 사용자 맞춤형 패션 큐레이팅 앱서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1822,IT/인공지능||패션큐레이팅||컴퓨터비전,http://www.coody.cool,https://apps.apple.com/kr/app/%EC%BF%A0%EB%94%94-coody/id1556810664,http://www.coody.cool/app
111058,148373,맞춤형 전자지갑,White-labelled in-app digital wallet,Wallet Engine offers apps with a fully customizable in-app wallet infrastructure consisting of technology and regulated e-money operations,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://walletengine.io,,
47804,104662,담원게임아카데미,damwongameacademy,담원게임아카데미,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1824,,https://damwongameacademy.com,,
4235,4951,피부자가진단에 의한 맞춤형 제품추천 앱,,스마트폰 카메라를 이용하여 피부상태를 자가진단하고 상태에 맞는 맞춤형 제품을 추천받는다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1825,,,,
110085,145060,푸짐,FOODZIM,싸다!빠르다!푸짐했다! 도매시세 그대로 직배송 푸짐,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1826,,http://foodzim.com,https://apps.apple.com/US/app/id1485850190?l=en,https://play.google.com/store/apps/details?id=kr.ficus.foodzim&hl=ko
33691,15554,브레이든 프로,BRAYDEN PRO,심폐소생술의 스마트한 진화,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1827,,http://www.innosonian.com/brayden-braydenpro.html,,
31501,88780,파인드봄,findbom,유기동물 찾기 사회복지서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1828,,http://find.bom.co.kr,,
29874,76849,웨어비,WearBe,가장 간편하게 스마트폰 하나로 신체치수를 측정하고 온라인 의류쇼핑에 신뢰를 더합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1829,신체치수||치수측정||이커머스||패션||스타일링||의류||모바일어플리케이션,http://ganadaproject.com,,
114165,133750,달링,DalRing,인공지능 커플매니저|| 모바일 애플리케이션 서비스 "달링(DalRing)",/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1830,,,https://apps.apple.com/kr/app/%EB%8B%AC%EB%A7%81-dalring/id1526976067,https://play.google.com/store/apps/details?id=kr.dalring.android.dalringapp
116250,143637,모두를 위한 디자인 / 브랜딩 교육,HDQTR education,브랜드와 디자인에 대한 기초적인 이해를 도와주고 실제 자신만의 브랜드와 디자인을 만들기 위한 기초 교육을 제공합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1831,디자인/컨설팅||디자인/브랜드디자인||디자인/교육,http://hdqtr.kr/service,,
112137,149093,브랜디드 콘텐츠 제작,,다양한 기관|| 기업과 협업 영상콘텐츠를 제작합니다. 필링은 2019년부터 장애인 이동권|| 노동권을 다루는 브랜디드 콘텐츠를 제작하였으며|| 올 해에도 <코로나 시대|| 장애인의 사회적고립>을 주제로 제작 예정입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,콘텐츠/영상||IT/영상,,,
113082,112737,하루옥션,HaruAuction,하루만에 내 명품을 전국 딜러에게 비교견적 받고 팔기 App 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1833,중고명품||명품가방/중고명품/경매||명품가방/중고명품/감정||블록체인||아이폰||안드로이드||경매,http://haruauction.com,https://apps.apple.com/app/id1555394130,https://play.google.com/store/apps/details?id=com.hashbrand.haruauction
44623,102009,호호당,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://www.hohodang.co.kr,,
111552,14741,헬로100,hello 100,모바일 진료접수의 새로운 패러다임을 제시합니다!,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1835,헬스케어||헬로100,https://www.hello100.kr/,https://apps.apple.com/us/app/%ED%97%AC%EB%A1%9C100/id1489569226,https://play.google.com/store/apps/details?id=com.lukekorea.hello100&hl=ko
111321,128208,메트리,metri,정신과 의원에서 심리검사를 간편하게 할 수 있는 플랫폼입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1836,metri||psychometricscale,https://staging-metri.metri.kr/clinic,,
29400,83789,일레클,elecle,공유퍼스널모빌리티 일레클,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,https://elecle.bike,,
109480,19149,모우다,Mouda,건강한 의료금융 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1838,,https://mouda.kr,,
2877,190,키위마켓(Kiwimarket),,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1839,,http://kiwimarket.co.kr/,,
25888,80729,퀀트 트레이딩,Quant Trading,가상화폐 마켓메이킹|| Arbitrage,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1840,,,,
28758,20587,당화혈색소 측정기,CareU™ Analyzer 100,자동화 당화혈색소 POCT 분석기,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1841,,,,
10298,22911,스쿨맘,SCHOOLMOM,학교·학부모·학생 대상 학교 소식 및 콘텐츠 제공 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://school-mom.kr/,https://itunes.apple.com/kr/app/seukulmam/id985000712?mt=8,https://play.google.com/store/apps/details?id=kr.onbi.schoolmom
48727,105376,BEEP - 유통기한 관리,BEEP - Expiration Date Tracking,리테일(마트|| 편의점)에서 사용하는 유통기한 관리 앱,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,유통기한,https://www.beepscan.com,http://itunes.apple.com/app/id1242739153,http://play.google.com/store/apps/details?id=com.bgpworks.beep
11036,24322,LS전선 기업/제품  웹사이트 리뉴얼,LS C&S Website Renewal,발주처: LS전선,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://www.lscns.co.kr,,
109651,85747,위세이브,WeSave,소통이 일상이 되면 탄소 중립이 일상이됩니다. WeSave!,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1845,,http://wesave.us,,
5750,8992,푸쉬프렌즈 for Kakao,PushFriends for kakao,두뇌퍼즐 게임,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
112587,149465,수공,soogong,집수리 중개 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1847,서비스업,https://soogong.co.kr,,
24039,13849,르호봇 비즈니스 센터,,전국으로 뻗어나가는 르호봇 비즈니스 센터!,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1848,,http://www.ibusiness.co.kr/business-center,,
96649,73495,마마스마켓,mamasmarket,주)스위틀리에서 수입하는 프리미엄 식품을 구매할수 있는 온라인몰,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1849,마르텔리파스타||카사마라조토마토소스||나폴리토마토||엔초비필렛||이태리참치||페르니고티잔두야,http://mamasmarket.kr,,
9981,22474,마케팅크래프트,MarketingCraft,온라인 마케팅 자동화 도구,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1850,digital_marketing||marketingautomation||marketingtool||analytics,http://marketingcraft.io,,
33117,84755,데이메디스랩,daymedislab,데이메디스랩|| 데이메디스 연구소,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1851,,http://www.lab.daymedis.com,,
101190,34342,프레퍼스 다이어트키친,Preppers,건강한 패스트푸드,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1852,,http://naver.me/x0amc44W,,
66753,103882,웹웨어,Wepware,콘텐츠와 서비스를 연결합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1853,,http://www.wepware.com,,
13655,28888,페트론,Petrone,Smart Battle Transforming Drone,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
11138,645,영상전문프로덕션,Video Contents Production,홍보영상 및 인터뷰영상|| 행사스케치영상제작,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,https://vimeo.com/wishloop,,
6080,15282,엠토핑,mtoping,가장 간편한 모바일사이트 빌더|| 엠토핑,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1856,,http://www.mtoping.com,,
3885,4345,브랜딩,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1857,,,,
45185,13536,LS 인터랙티브 조감도,,LS산전 변전소 인트렉티브 조감도 웹사이트 개발,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1858,,,,
109349,147355,라스트킹덤: 디펜스,Last Kingdom: Defense,캐슬 디펜스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1859,게임||디자인,,https://apps.apple.com/us/app/last-kingdom-defense/id1538320172,https://play.google.com/store/apps/details?id=com.studioand.lastresistance
115245,150812,피그업,Pigup,새로운 시대의 새로운 고기|| 피그업,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1860,,https://www.pigup.co/,,
111800,95864,무브먼트랩,Movement Lab,리빙 스타일 큐레이션 스토어,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1861,무브먼트랩||리빙편집샵,http://movementlab.kr,,
110983,148287,바루다,Baruda,물리치료|| 도수치료 1차 문진 및 치료사 선택 예약 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1862,S/W개발및공급||의료/헬스||디지털헬스케어||바루다||O2O플랫폼,,,
3897,556,1KM - 내 주변 새로운 친구|| 멋진 인연을 만들고 싶다면,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1863,,,https://itunes.apple.com/kr/app/1km-nae-juwi-hunnamhunnyeo!/id404721929?mt=8,https://play.google.com/store/apps/details?id=emotion.onekm
2474,2719,Sleep Sense,,Personalized Sleep Care Service,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1864,,http://angel.co/frasen-inc,,
109967,147743,헬로그램,hellogram,홀로그램 종합 시스템,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1865,,http://www.hellogram.kr,,
108617,146861,그래비티,GRAVITY,요통환자를 위한 전문 허리관리 로봇,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1866,,,,
107018,117426,키핏,KEEPFIT,내 몸에 잘 맞는 운동 키핏,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1867,언택트||소프트웨어개발/서비스,https://keepfit.co.kr/,,
27450,83163,간편결제,Payment,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
5909,14907,올림푸스런 for Kakao,Olympus  Run for Kakao,런게임,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1869,,http://www.griffingames.co.kr,https://itunes.apple.com/kr/app/ollimpuseuleon-for-kakao/id947272829?mt=8,https://play.google.com/store/apps/details?id=kr.co.griffingames.olympusrun
7594,18163,CKPush,CKPush,CKPush 는 앱과 웹 통합서비스 개발을 위한 설치형 솔루션입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
68520,119414,노인복지,,활동 가능한 시니어 일자리 창출,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1871,복지||봉사||비영리법인||관리||서비스기획/운영,http://www.workandbenefits.org/,,
2920,391,세움마케팅(Seum),,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1872,,http://www.seummarketing.com/,,
85907,4346,알밤 커넥트 - 수시채용 공고 알리미,Albam Connect,가고 싶은 회사|| 놓치지 마세요! 수시채용 공고 알리미|| 알밤 커넥트,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1873,채용||수시채용||채용공고||커넥트||알밤커넥트,https://www.facebook.com/albamorekr,,https://play.google.com/store/apps/details?id=net.albam.connect
18017,35412,버츄얼게이트,VirtualGate,VR콘텐츠 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1874,,https://www.virtual-gate.co.kr,,
8689,6382,이어링,,스마트폰 이어폰 연결음 이어링 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1875,,,,
112313,148597,PPOP,피팝,일반인 음원 제작 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1876,#앨범||#음원||#가수||#스타||#작곡||#미디어,,,https://play.google.com/store/apps/details?id=com.ppopmusicapp&hl=ko&gl=US
3497,3770,우아한웨딩,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1877,,http://wooahanwedding.com/,,
111067,12588,에이비일팔공,AB180,AB180 공식페이지,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1878,,https://www.ab180.co/,,
2591,2113,클로리: 전쟁의 서막,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1879,,http://blog.chlory.com/,https://itunes.apple.com/kr/app/keulloli-jeonjaeng-ui-seomag/id554422329?mt=8,https://play.google.com/store/apps/details?id=com.papayacompany.chlorylite
61568,75198,엔덴,andn,가치소비 중심 커뮤니티 커머스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1880,커뮤니티||커머스||가치소비||친환경||동물복지||비건||채식||제로웨이스트,http://andn.co.kr,,
108191,146599,퓨처파운드,FUTURE FOUND,COMPANY BUILDING 인큐베이터,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1881,,http://futurefound.kr,,
2516,1057,맥심알람,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1882,,https://play.google.com/store/apps/details?id=com.maywill.maximalarm,,https://play.google.com/store/apps/details?id=com.maywill.maximalarm
7973,1540,아임웹,I'm web.,스스로 만드는 반응형웹|| 쇼핑몰 아임웹,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,웹사이트||웹사이트빌더||솔루션||웹솔루션||반응형웹||디자인||웹디자인||쇼핑몰||쇼핑플랫폼||글로벌쇼핑몰||홈페이지,http://imweb.me,,
22231,74113,머니스테이션,Moneystation,글로벌 금융 소셜네트워크,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1884,,http://www.moneystation.net,,
30930,24956,소다기프트,SodaGift,Cross border 디지털 선물 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1885,기프티콘||기프트카드||선물||해외선물||미국역직구||유학생||취업이민||모바일커머스||역직구||해외직구,https://sodagift.com/,,
118,68,Dialoid,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1886,,http://www.dialoid.com/,,https://play.google.com/store/apps/details?id=com.dialoid.sms
3289,3425,TAGME,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1887,,http://tagme.to/,,
110974,148264,카다이어리,,자동기록 차계부,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1888,카다이어리||차계부,,,https://play.google.com/store/apps/details?id=com.intravan.smarthighway
23218,75842,바이트,BITE,짧아서 더 좋은|| 3분 문학 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1889,,https://everbite.com,http://goo.gl/n75Zn2,http://goo.gl/43gF6Z
111387,144212,테스트밸리,TestValley,전자제품 체험형 구매 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1890,체험||결제||전자제품||이커머스/전자제품,https://testvalley.kr,,
61600,114913,24시간 무선 ARS 예약서비스,24h mobile Reservation Service,24시 무선 ARS 예약 서비스 입니다,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1891,,http://shhphone.com,,
109445,147432,보안기술 연구개발,Information Security Research and Development,보안기술 연구개발,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1892,,,,
110070,147830,세이뉴스,saynews,뉴스빌더 솔루션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1893,뉴스,http://saynews.net,,
113747,898,투어퀘스트,TourQuest,관광 특화 리워드 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1894,관광/레져||게임/현실융합||모바일/웹||멀티미디어||리워드,,,https://play.google.com/store/apps/details?id=com.ncubeworld.game.TourQuest
112577,149458,코라이프,KO-LIFE,재한 외국인 일자리 플랫폼 APP,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1895,,http://www.ko-life.co.kr,https://apps.apple.com/kr/app/ko-life-%EC%99%B8%EA%B5%AD%EC%9D%B8-%EC%95%8C%EB%B0%94%EB%8A%94-%EC%BD%94%EB%9D%BC%EC%9D%B4%ED%94%84/id1547216428,https://play.google.com/store/apps/details?id=com.kotrip
4577,4372,타운어스,,대학생 공동구매 커머스 & 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1896,커뮤니티||단체||플랫폼||트렌드||대학생||공동구매,,,
60737,114297,모션뷰,MotionView,다물체 시스템 모델링 툴,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,motionview||modellingtool,http://www.altair.com,,
76547,16176,MBO Cloud,MBO Cloud,성과평가 어플리케이션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1898,,https://www.cydas.co.kr/cydas,,
40578,36627,넥스트유니콘,nextunicorn,넥스트유니콘은 빅데이터 기술을 기반으로 스타트업과 투자자를 연결하는 온라인 플랫폼 서비스입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1899,투자유치||온라인플랫폼||IT/서비스||플랫폼서비스||투자자||스타트업||네트워킹,https://www.nextunicorn.kr/,,
112651,149535,식수위생사업,,깨끗한 물을 제공하고|| 위생 시설을 개선하여 수인성질병을 예방하여 아동의 건강한 성장을 지원합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1900,,http://thepromise.or.kr/bbs/board.php?bo_table=B81,,
2853,1432,레드펭귄,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1901,종합광고대행사||디지털마케팅||온라인마케팅||모바일마케팅,http://redpenguin.co.kr/pc.html,,
30395,87260,래브라도,,시각장애인 전용 길안내 어플리케이션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
5086,8171,엠델패드,Emdel Pad,자세교정기,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
27451,14140,도서 출판,Book Publishing,(출판브랜드) 직접 콘텐츠를 기획하고 도서로 출판합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1904,출판||전자출판||온라인출판||광고/출판/마케팅||출판유통,,,
61669,77761,쉰들러 엘리베이터 영업관리시스템 구축,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
84889,130078,디자인,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
